"Armed Actors/ Security Personnel Casualties Total","Civilian Casualties Total","Civilians Injured","Civilians Killed","Country","Date","Description","Location"
"0","9","2","7","Afghanistan","2020-01-25","6 killed in Afghan airstrikes on villages in Balkh","Village"
"4","0","0","0","Afghanistan","2020-01-25","4 injured as rocket hit a military helicopter in Afghanistan's southern province of Helmand","No Information"
"0","20","20","0","Afghanistan","2020-01-25","Grenade attack on an Afghan wedding ceremony wounded at least 20 people","Public Gathering"
"0","5","4","1","Afghanistan","2020-01-25","IED blast in Kabul kills 1 in PD3","Road"
"2","0","0","0","Afghanistan","2020-01-29","2 Taliban killed in airstrike on Herat","No Information"
"21","0","0","0","Afghanistan","2020-01-28","14 Taliban killed and another seven injured by an airstrike launched by ""foreign forces"" in Afghanistan's south","Armed Base"
"0","5","0","5","Afghanistan","2020-02-01","Woman and 2 children killed by airstrike or roadside bomb in Badghis","Village"
"0","7","0","7","Afghanistan","2020-01-31","5 killed including former Hizb-e-Islami commander an his family","Road"
"5","0","0","0","Afghanistan","2020-01-31","5 Taliban killed in airstrike on Badghis","No Information"
"3","0","0","0","Afghanistan","2020-01-29","3 soldiers wounded when their vehicle was hit by a roadside bomb","No Information"
"0","2","1","1","Afghanistan","2020-01-27","10yo killed by a mortar fired by Afghan security forces, which also injured another child","No Information"
"0","3","0","3","Afghanistan","2020-01-13","Afghan mortar fire kills 3, including young girl in Balkh","Village"
"0","3","2","1","Afghanistan","2020-01-12","Taliban rocket on home kills 16yo girl and wounds 2","Village"
"3","0","0","0","Afghanistan","2020-02-06","3 Taliban killed in Afghan airstrike on Chimtal district","No Information"
"10","0","0","0","Afghanistan","2020-02-08","10 Taliban killed in airstrike on Chawkay district","No Information"
"0","8","0","8","Afghanistan","2020-01-31","8 killed in Tarin Kot city by US air strike","No Information"
"0","2","0","2","Afghanistan","2020-01-22","2 killed in Afghan airstrike on Posht Koh district","No Information"
"0","7","7","0","Afghanistan","2020-01-08","7 civilians injured in Afghan airstrike in Alinger district of Laghman","No Information"
"0","5","1","4","Afghanistan","2020-02-06","Taliban mortar kills 4 civilians in Faryab","Urban Residential"
"5","2","0","2","Afghanistan","2020-02-07","Suicide car bomber kills 6 police in Geresk district - target bazaar but detonated when stopped by police","No Information"
"1","0","0","0","Afghanistan","2020-02-09","Taliban leader killed in airstrike in chemtal district","Village"
"0","5","0","5","Afghanistan","2020-02-08","5 businesspeople killed in airstrike while travelling in Abu nasr farahi port ","Village"
"10","0","0","0","Afghanistan","2020-02-09","10 Taliban killed in airstrike on Chawkay district","No Information"
"12","7","5","2","Afghanistan","2020-02-11","2 civilians and 4 military killed in suicide attack on Kabul","Police Station"
"0","2","1","1","Afghanistan","2020-02-12","Child killed and 1 injured in roadside bomb explosion in Nedami area","Village"
"0","8","3","5","Afghanistan","2020-02-11","Bomb explosion inside a madrasa kills 5 children and wounds 3 more ","School"
"5","0","0","0","Afghanistan","2020-02-11","Roadside bomb kills 4 police in Nawa District","Road"
"5","0","0","0","Afghanistan","2020-02-09","4 killed and 1 wounded in car bomb explosion in Greshk","No Information"
"0","5","4","1","Afghanistan","2020-02-09","Child killed and 4 injured in mortar fire on home in Takhar","Urban Residential"
"5","0","0","0","Afghanistan","2020-02-09","2 police killed in roadside bomb blast in Kunduz","Road"
"2","0","0","0","Afghanistan","2020-02-07","2 soldiers killed trying to defuse bomb in Balkh","Road"
"0","8","0","8","Afghanistan","2020-02-14","8 civilians killed in US airstrike on vehicle in Nangarhar","Village"
"9","0","0","0","Afghanistan","2020-02-13","9 taliban killed in airstrike in Balkh province","No Information"
"10","0","0","0","Afghanistan","2020-02-14","6 Taliban killed and 4 injured in airstrikes on Sherzad district","No Information"
"5","0","0","0","Afghanistan","2020-02-14","5 Taliban killedin airstrikes in Takhar province","No Information"
"1","0","0","0","Afghanistan","2020-02-12","Senior TTP leader killed in roadside bomb blast in Kunar","Road"
"10","0","0","0","Afghanistan","2020-02-14","7 Taliban killed in airstrike on Takhar ","No Information"
"4","0","0","0","Afghanistan","2020-02-17","4 ISIS killed in airstrikes on Suki district ","No Information"
"1","0","0","0","Afghanistan","2020-02-17","1 ISIS fighter killed in airstrike on Tarang district ","No Information"
"0","6","5","1","Afghanistan","2020-02-17","6 injured in roadside bomb blast in Badghis province","Village"
"3","0","0","0","Afghanistan","2020-02-19","3 Taliban killed in airstrikes on Nahr-e Saraj district","No Information"
"1","0","0","0","Afghanistan","2020-02-19","ISIS fighter killed in Tswoky district in airstrike","No Information"
"1","0","0","0","Afghanistan","2020-02-19","1 Taliban killed in airstrike on Deh Yak district","No Information"
"6","0","0","0","Afghanistan","2020-02-20","6 ISIS killed in airstrike in Najrab district","No Information"
"7","0","0","0","Afghanistan","2020-02-20","7 fighters killed in airstrike on Chawkai district","No Information"
"5","0","0","0","Afghanistan","2020-02-21","5 Taliban killed in airstrike in Sar-e Pul province","No Information"
"4","0","0","0","Afghanistan","2020-02-24","4 ISIS killed in Afghan airstrike in Chawkay","No Information"
"4","0","0","0","Afghanistan","2020-02-25","4 soldiers injured by roadside bomb in Zabul","Road"
"0","3","0","3","Afghanistan","2020-02-25","3 women killed in roadside bomb blast in Helmand","Road"
"0","11","10","1","Afghanistan","2020-02-27","1 killed and 10 injured in 6th district of Kabul ","Urban Residential"
"1","0","0","0","Afghanistan","2020-02-27","Policeman killed in roadside bomb blast in Balkh","Village"
"0","14","11","3","Afghanistan","2020-03-02","Motorcycle bomb kills 3 at football match in Khost","Entertainment"
"7","0","0","0","Afghanistan","2020-03-05","US airstrike kill 8 ISIS in Kunar","No Information"
"4","0","0","0","Afghanistan","2020-03-04","4 police injured in roadside bombing in Uruzgan","Road"
"0","24","17","7","Afghanistan","2020-03-06","7 killed and 17 injured in Taliban missile attack on Khwaja Noor village","Village"
"1","0","0","0","Afghanistan","2020-03-07","IED blast in Lashkargah kills 1 policeman","No Information"
"1","0","0","0","Afghanistan","2020-03-06","Rockets land in Kabul hitting hotel and injuring a police officer","Multiple (urban)"
"0","9","8","1","Afghanistan","2020-03-09","Child killed and 8 wounded in roadside bomb explosion in Logar province","Village"
"0","2","0","2","Afghanistan","2020-03-04","2 killed in roadside bombign in Sare-Sang village ","Village"
"4","0","0","0","Afghanistan","2020-02-29","3 police killed and 1 wounded in Sagi area of Mianashindistrict","Road"
"1","0","0","0","Afghanistan","2020-02-26","1 police killed in roadside bomb explosion in Khakriz District","Road"
"3","0","0","0","Afghanistan","2020-02-24","3 border security killed in roadside bomb blast in Jawand district","Road"
"4","0","0","0","Afghanistan","2020-02-21","2 soldiers killed and 2 wounded in roadside bomb blast in Tarin Kot","Road"
"0","1","0","1","Afghanistan","2020-02-20","Retired police officer killed in bomb explosion in front of his house in Lashkar Gah","Urban Residential"
"3","5","0","5","Afghanistan","2020-02-17","5 civilians killed in Afghan airstrike on village of Arabah targeting Talian commander but kill family too","Village"
"0","9","8","1","Afghanistan","2020-02-17","Child killed and 8 family members injured in Taliban mortar explosion in Kunduz","Urban Residential"
"0","3","3","0","Afghanistan","2020-03-14","3 injured in Taliban mortar fire when clashes occur between Taliban and Afghan forces","Urban Residential"
"1","3","2","1","Afghanistan","2020-03-16","Police officer killed and 2 injured in bomb blast in Mazari Sharif","Urban Residential"
"2","0","0","0","Afghanistan","2020-03-18","Roadside bomb kills Taliban commander and security guard in Nangarhar","Road"
"3","0","0","0","Afghanistan","2020-03-18","Roadside bomb explosion kills 2 police  and wounded another in Kapisa","Road"
"18","12","10","2","Afghanistan","2020-03-19","2 killed as well as 6 Taliban and 22 injured in IED explosion in Taluqan","Urban Residential"
"2","9","0","9","Afghanistan","2020-03-22","Airstrike kill 11 of one family in Kunduz","Village"
"4","1","0","1","Afghanistan","2020-03-23","4 police and 1 civilian killed in roadside bomb blast in Ghazni","Road"
"1","6","3","3","Afghanistan","2020-03-25","3 killed and 3 injured in mortar fire on vehicle in Tagab district","Road"
"1","33","8","25","Afghanistan","2020-03-25","25 people killed in suicide attack also using grenades at a Sikh temple","Place Of Worship"
"0","8","0","8","Afghanistan","2020-03-25","8 killed in roadside bomb in Musa Qala district","Road"
"8","0","0","0","Afghanistan","2020-03-22","3 army soldiers killed in car bomb explosion in Badghis","Armed Base"
"0","1","1","0","Afghanistan","2020-03-26","Child injured in blast outside crematorium - others report no casualties","Place Of Worship"
"0","4","2","2","Afghanistan","2020-03-28","Bomb explosion hits car in Nangarhar killing 2 religious scholars","Road"
"0","10","2","8","Afghanistan","2020-04-01","Roadside bomb kills 7 and injures 2 in Gareshk","Public Transport"
"1","3","0","3","Afghanistan","2020-03-31","Explosion in Paktika killed 4 including 1 police","No Information"
"1","1","0","1","Afghanistan","2020-03-30","Roadside bomb kills 1 civilian and injures a soldier","Village"
"2","0","0","0","Afghanistan","2020-04-02","2 intelligence operatives injured in landmine blast in Pul-i-Khumri","Urban Residential"
"6","0","0","0","Afghanistan","2020-04-03","Airstrike kills 6 fighters in Kandahar province ","No Information"
"8","0","0","0","Afghanistan","2020-04-05","6 Taliban killed in airstrike in Tarinkot city","No Information"
"10","0","0","0","Afghanistan","2020-04-05","6 Taliban killed in airstrike on Khas Uruzgan district","No Information"
"21","0","0","0","Afghanistan","2020-04-05","21 Taliban killed in airstrikes in Zabul","No Information"
"0","10","2","8","Afghanistan","2020-04-04","8 killed and 2 injured in airstrike on Uruzgan","No Information"
"0","11","8","3","Afghanistan","2020-04-07","3 civilians killed and 8 injured in mortar attack - one report US airstrike","Urban Residential"
"7","0","0","0","Afghanistan","2020-04-11","3 Taliban killed in airstrike in Zabul","No Information"
"42","0","0","0","Afghanistan","2020-04-12","25 Taliban killed and 17 wounded in airstrikes in Jawzjan","No Information"
"0","5","3","2","Afghanistan","2020-04-16","2 Afghan national killed and 3 injured in hand grenade attack","No Information"
"0","4","1","3","Afghanistan","2020-04-18","Mortar attack killed 3 in Paktiya","No Information"
"7","0","0","0","Afghanistan","2020-04-20","4 Taliban killed and 3 injured in airstrike on Kajaki district","No Information"
"0","4","3","1","Afghanistan","2020-04-18","1 killed and 3 wounded in mortar shelling on Kapisa province","Urban Residential"
"0","6","0","6","Afghanistan","2020-04-20","6 killed in roadside bomb blast in Paktika","Village"
"0","2","1","1","Afghanistan","2020-04-20","Roadside bomb kills 1 and injures 1 in Farah - Taliban suspected","Village"
"3","0","0","0","Afghanistan","2020-03-26","2 police killed and 1 wounded in Taliban rocket attack on Humvee in Kunduz","Road"
"1","6","6","0","Afghanistan","2020-03-26","Taliban rocket attack kills 1 security member and wounds 6 in Faryab in attack on Almar District center","Town Centre"
"0","1","0","1","Afghanistan","2020-03-24","Woman killed in mortar fire by security forces","Village"
"2","1","1","0","Afghanistan","2020-03-23","1 police killed and 1 injured and 1 civilian wounded by motorcycle bomb at entrance to Paktia university","School"
"2","0","0","0","Afghanistan","2020-03-23","Roadside bomb near police checkpoint kills 1 and wounds 1","Police Station"
"0","10","6","4","Afghanistan","2020-03-22","4 civilians killed and 6 wounded in airstrike targeting Taliban in Kunduz","Urban Residential"
"3","0","0","0","Afghanistan","2020-03-22","Policeman killed and 2 soldiers wounded by roadside bomb in Kandahar as they respond to another bombing","Road"
"0","3","2","1","Afghanistan","2020-03-18","1 killed and 2 wounded by bomb attached to vehicle in Bodana Qala area","Village"
"0","11","10","1","Afghanistan","2020-03-18","1 killed and 10 injured in roadside bomb blast in village in Ghor","Village"
"6","0","0","0","Afghanistan","2020-03-17","3 soldiers killed and 3 wounded in roadside bombing in Dorahi Tangi area","Road"
"0","1","0","1","Afghanistan","2020-03-16","Shepherd child killed by roadside bomb in Band-e-Sharan village","Village"
"4","0","0","0","Afghanistan","2020-03-11","Policeman killed and 3 injured in roadside bombing in Chinzai area","Road"
"1","0","0","0","Afghanistan","2020-03-10","Roadside bomb kills police officer in Kandahar city","Road"
"2","0","0","0","Afghanistan","2020-03-08","Roadside bomb explosion in Lashkar Gah kills member of National Directorate of Security","Road"
"1","0","0","0","Afghanistan","2020-04-16","Soldier killed in roadside bomb blast in Charkh district","Road"
"0","5","3","2","Afghanistan","2020-04-16","Taliban fired mortar hitshome in Pakhri area of Paktia","Urban Residential"
"4","0","0","0","Afghanistan","2020-04-14","2 police killed in roadside bomb in Zabul","Road"
"2","0","0","0","Afghanistan","2020-04-14","Roadside bomb blast near checkpoint in Bandar-e-Shakh area kills 1 militia member","Armed Base"
"0","3","2","1","Afghanistan","2020-04-13","Roadside bomb hits tribal elder vehicle in Shakotay area of Lalpura","Road"
"0","5","2","3","Afghanistan","2020-04-10","Roadside bomb kills 3 civilians at a picnic site in Huthghar area ","Entertainment"
"4","0","0","0","Afghanistan","2020-04-05","Roadside bomb hits police vehicle in Greshk district","Road"
"4","0","0","0","Afghanistan","2020-04-05","Roadside bomb hits military vehicle in Alti Bolak village","Village"
"0","8","6","2","Afghanistan","2020-04-03","Afghan air force helicopter bomb house in Chashme-e-Shir area wounding 8 civilians","Urban Residential"
"0","2","0","2","Afghanistan","2020-04-03","2 children killed when rocket hits home in Faryab","Urban Residential"
"4","0","0","0","Afghanistan","2020-04-03","Roadside bomb kills 1 police officer and wounds 3 ","Road"
"19","0","0","0","Afghanistan","2020-03-30","19 Taliban killed in Afghan airstrikes in Baghlan","No Information"
"1","0","0","0","Afghanistan","2020-03-30","Bomb attached to vehicle in Kabul kills head of the Gender Department of the National Directorate of Security","Road"
"0","3","2","1","Afghanistan","2020-03-28","6yo child killed and 2 children wounded as they triggered roadside bomb as they played","Urban Residential"
"4","0","0","0","Afghanistan","2020-04-21","Police chief's car hits roadside bomb in Paato district killing 3 police and wounding chief","Road"
"3","12","12","0","Afghanistan","2020-04-21","Suicide car bomb hits governor's car in Khost wounding 2 bodyguards and 12 civilians","No Information"
"0","4","0","4","Afghanistan","2020-04-21","4 civilians killed and roadside bomb blast on road to Ghazni","Road"
"0","13","12","1","Afghanistan","2020-04-25","1 killed and 12 injured, including women and children, in mortar shelling","Village"
"0","5","0","5","Afghanistan","2020-04-22","5 killed in roadside bombing in Ghazni","Road"
"7","0","0","0","Afghanistan","2020-04-26","7 Taliban killed in airstrike on Logar province's Nasri village","Village"
"8","0","0","0","Afghanistan","2020-04-25","8  insurgents killed in airstrike in Nachin area","No Information"
"0","2","1","1","Afghanistan","2020-04-25","Roadside bomb killed a child and injured another civilian in Almar district","No Information"
"1","17","15","2","Afghanistan","2020-04-29","3 killed and 15 wounded in Kabul suicide attack ","Urban Residential"
"0","3","3","0","Afghanistan","2020-04-29","Blast in Kabul wounds 3 civilians ","No Information"
"6","1","0","1","Afghanistan","2020-04-30","Head of intelligence and bodyguard killed by roadside bomb in Helmand","Road"
"0","5","0","5","Afghanistan","2020-04-29","5 killed in roadside blast in Ghazni's Andar district ","Road"
"0","7","4","3","Afghanistan","2020-05-02","3 killed and 4 injured in bomb attack in Mehtarlam city","Road"
"0","4","0","4","Afghanistan","2020-05-01","4 children killed by IED blast in Logar","Urban Residential"
"16","0","0","0","Afghanistan","2020-05-04","16 Taliban killed in Balkh province's Koshinda district","No Information"
"13","0","0","0","Afghanistan","2020-05-04","5 Afghan security members and 7 wounded in truck bomb blast in Grishk district","No Information"
"0","20","20","0","Afghanistan","2020-05-03","20 injured when Taliban fighters throw grenade in to mosque","Place Of Worship"
"0","8","8","0","Afghanistan","2020-05-03","8 power company employees wounded in bomb explosion in Kabul","No Information"
"2","0","0","0","Afghanistan","2020-04-29","Afghan air strike on Taliban in Kunduz kills 1 and kills 1 Afghan soldier in their custody","No Information"
"2","0","0","0","Afghanistan","2020-04-27","1 asoldier killed and 1 injured in roadside bomb blast in Maidanak","Village"
"0","2","1","1","Afghanistan","2020-04-25","Mortar kills 1 woman and wounds child in Kamengi Oliya village - Taliban suspected","Village"
"28","0","0","0","Afghanistan","2020-04-20","Afghan airstrike kill 16 Taliban and injure 12 in Herat","No Information"
"5","0","0","0","Afghanistan","2020-04-17","5 soldiers killed by roadside bomb in Qandahariha village of Khwaja Ghar District","Village"
"0","1","0","1","Afghanistan","2020-04-17","Taxi hits roadside bomb in Rabat area of Gardez killing driver","Urban Residential"
"16","0","0","0","Afghanistan","2020-05-05","16 Taliban killed in airstrikes on Kushindi district ","No Information"
"2","2","1","1","Afghanistan","2020-05-08","Police chief and 2 others killed in roadside bomb in Khost","Road"
"0","4","4","0","Afghanistan","2020-05-11","Four explosions in Kabul leave 4 wounded","Urban Residential"
"0","4","3","1","Afghanistan","2020-05-09","Child killed and 3 wounded by Taliban mortar fire in Logar","Village"
"0","20","11","9","Afghanistan","2020-05-11","9 civilians killed and 11 injured according to local residents in Balkh - Afghanistan confirm at least 2 injured","Road"
"1","92","68","24","Afghanistan","2020-05-12","32 killed and 133 wounded in suicide bombing at funeral in Nangarhar ","Place Of Worship"
"0","7","3","4","Afghanistan","2020-05-12","2 children killed in mortar attack in Farah province","Village"
"0","11","10","1","Afghanistan","2020-05-12","1 killed and 10 injured in roadside bombing in Sabarau district","Market"
"6","0","0","0","Afghanistan","2020-05-13","5 Taliban killed and 1 wounded in airstrike in Chahal Bolak district","No Information"
"30","0","0","0","Afghanistan","2020-05-13","17 Taliban killed in airstrike in Balkh district - civilians may also have been killed ","No Information"
"7","24","19","5","Afghanistan","2020-05-14","5 killed and 24 wounded in car bomb in Gardez city","No Information"
"0","3","1","2","Afghanistan","2020-05-15","2 children killed and 1 child injured in roadside bomb blast in Ghazni","Village"
"0","5","3","2","Afghanistan","2020-05-16","At least 2 killed and 3 injured in bomb blast in Aino Mina town in front of mosque","Place Of Worship"
"50","0","0","0","Afghanistan","2020-05-18","9 force members killed in Taliban suicide attack targetting intelligence base in Ghazni","Armed Base"
"0","6","6","0","Afghanistan","2020-05-17","Roadside bomb injures 6 in Khost including 3 medical workers","Road"
"0","13","9","4","Afghanistan","2020-05-19","Bomb blast in Zabul kills 4 and injures 9 in Mezana district","Road"
"1","19","18","1","Afghanistan","2020-05-19","IED in motorbike detonates killing 1 police and 1 civilian outisde bazaar","Market"
"0","7","6","1","Afghanistan","2020-05-19","1 killed and 6 injured in mortar shelling on residential area in Laghman","Urban Residential"
"1","2","2","0","Afghanistan","2020-05-21","District head and son were injured in suicide attack in Behsud district","Road"
"6","0","0","0","Afghanistan","2020-05-22","6 Taliban killed in airstrikes in Jawzjan province","No Information"
"21","0","0","0","Afghanistan","2020-05-21","21 Taliban killed in airstrike in Jawzjan province","No Information"
"0","10","3","7","Afghanistan","2020-05-22","7 civilians killed in airstrike on residential area in Jangal-e-Arigh","Village"
"0","16","12","4","Afghanistan","2020-05-24","At least 4 killed by mortar shelling on home in Alishang district","Urban Residential"
"0","4","0","4","Afghanistan","2020-05-25","Roadside bomb kills at least 4 in Mianshin district in Kandahar","Road"
"0","2","1","1","Afghanistan","2020-05-27","Man killed and girl injured in mortar shelling in Kunar","Urban Residential"
"0","8","6","2","Afghanistan","2020-05-30","IED hits vehicle killing journalist and studio technician","Urban Residential"
"0","8","5","3","Afghanistan","2020-05-30","Mortar shell hits homes in Parwan killing 3 civilians in home","Urban Residential"
"0","3","3","0","Afghanistan","2020-05-31","Roadside bomb injures 3 civilians in Kabul","No Information"
"0","6","3","3","Afghanistan","2020-05-30","Mortar shell hits home in Maidan Wardak province","Urban Residential"
"0","7","5","2","Afghanistan","2020-05-29","2 children killed after bomb exploded on motorcycle in Kandahar","Urban Residential"
"0","13","6","7","Afghanistan","2020-06-01","Landmine blast kills 7 farm laborers in Kunduz","Road"
"0","4","1","3","Afghanistan","2020-06-01","Roadside bomb kills 3 in Ghazni's Nazar Khan area","Road"
"0","14","5","9","Afghanistan","2020-06-03","Roadside bomb kills 9 in Kandahar province","Public Transport"
"0","10","8","2","Afghanistan","2020-06-02","Bomb explodes in mosque in Kabul killing 2 and wounding 8","Place Of Worship"
"2","0","0","0","Afghanistan","2020-06-02","Landmine blast in Paktia province killed police chief and his guard","No Information"
"0","1","1","0","Afghanistan","2020-05-10","Government official wounded in IED blast in PD5","Road"
"0","1","1","0","Afghanistan","2020-05-16","IED blast in Taimani area in PD4, targeting a police vehicle. One wounded.","Urban Residential"
"0","2","2","0","Afghanistan","2020-05-18","Roadside bomb blast in PD17 in Kotal-e-Khairkhana area. Target was a security forces vehicle. Two wounded.","Urban Residential"
"0","2","2","0","Afghanistan","2020-05-18","2 IED blasts in PD11 injure 2. Target said to be police vehicle","Urban Residential"
"0","2","2","0","Afghanistan","2020-03-22","2 roadside bomb blasts in PD19. Two wounded","Urban Residential"
"2","0","0","0","Afghanistan","2020-04-12","2 wounded by magnetic IED blast in PD11, targeting police vehicle","Road"
"0","13","6","7","Afghanistan","2020-06-02","7 killed in roadside bomb blast in Kunduz","Road"
"0","7","4","3","Afghanistan","2020-06-02","3 killed and 4 injured in roadside bomb blast in Sari Pul province just outside capital","Road"
"16","0","0","0","Afghanistan","2020-06-04","16 Taliban killed in US airstrike on Farah province","Armed Base"
"11","0","0","0","Afghanistan","2020-06-06","11 police killed in roadside bomb blast in Khash district","Road"
"0","4","3","1","Afghanistan","2020-06-04","Roadside bomb blast kills 1 and injures 3 in Qarabagh district ","Market"
"0","3","3","0","Afghanistan","2020-06-05","Roadside bomb injures 3 in Kandahar's Mianshin district","No Information"
"4","0","0","0","Afghanistan","2020-06-06","2 border guards killed in roadside bomb explosion in Paktia","Road"
"4","1","0","1","Afghanistan","2020-06-09","Governor and 4 militiamen killed in bomb attack in Balkh province","No Information"
"0","1","0","1","Afghanistan","2020-06-09","1 killed in roadside bomb blast near bakery in Nangarhar","Commercial Premises"
"4","0","0","0","Afghanistan","2020-05-28","Roadside bomb kill police officer and wounds 3 in Hisa-e-Duwum District","Road"
"18","0","0","0","Afghanistan","2020-05-27","18 Taliban fighters killed in Afghan airstrike in Zabul province","No Information"
"0","3","0","3","Afghanistan","2020-05-25","3 children killed in bomb in village in Moqor district - Taliban blamed","Village"
"0","6","3","3","Afghanistan","2020-05-25","Roadside bomb in Tarin Kot kills woman and 2 children ","Village"
"1","0","0","0","Afghanistan","2020-05-25","1 police officer killed in roadside bomb explosion to get to previous blast","Road"
"2","0","0","0","Afghanistan","2020-05-21","Roadside bomb kills 1 police and wounds 1 in Tangari Dari area","Road"
"2","0","0","0","Afghanistan","2020-05-20","1 police killed and wounded 1 in roadside bomb blast in Katta-Chashma","Village"
"0","7","0","7","Afghanistan","2020-05-20","Afghan air strike on Jangal Ariq village killing 7","Village"
"0","4","2","2","Afghanistan","2020-05-20","2 killed and 2 wounded in drone strike on home in Mafaly village","Village"
"0","3","0","3","Afghanistan","2020-05-20","3 killed in Afghanistan helicopter rocket attack on Basoos village","Village"
"2","0","0","0","Afghanistan","2020-05-20","Roadside bomb kills soldier in Pal-e-Hashimi village","Village"
"9","0","0","0","Afghanistan","2020-05-16","3 police killed and 6 wounded by Taliban rocket in Moqor district","No Information"
"2","2","1","1","Afghanistan","2020-05-14","Roadside bomb hits police vehicle in Kandahar city killing 1 civilian and wounding 2 police and a child","Urban Residential"
"5","0","0","0","Afghanistan","2020-05-14","5 commandos killed in rocket attack in Dawlat Abad district","No Information"
"6","0","0","0","Afghanistan","2020-05-14","Roadside bomb in Dawlat Abad district killed 4 soldiers and wounded 2","Road"
"2","0","0","0","Afghanistan","2020-05-12","Roadside bomb in Kandahar kills 2 police","No Information"
"2","0","0","0","Afghanistan","2020-05-11","Roadside bomb kills 2 police in Seyasang Dara area","Road"
"1","0","0","0","Afghanistan","2020-05-09","Roadside bomb kills 1 police officer in Kandahar city","Urban Residential"
"1","0","0","0","Afghanistan","2020-05-08","Roadside bomb kills 1 police officer in 10th Police District near checkpoint","Armed Base"
"2","0","0","0","Afghanistan","2020-05-05","Roadside bomb kills 2 police in Narimanda area of Nadali District","Road"
"2","0","0","0","Afghanistan","2020-05-02","Bomb in shop in Kandahar City detonated when police pass killing 1 ","Commercial Premises"
"0","12","8","4","Afghanistan","2020-06-12","4 killed by bomb explosion in Sher Shah Suri mosque in Kabul","Place Of Worship"
"0","4","3","1","Afghanistan","2020-06-14","Roadside bomb kills 1  and wounds 3 in Jalalabad city","Urban Residential"
"5","0","0","0","Afghanistan","2020-06-12","2 public uprising forces members killed in roadside bomb blast in Gardez","Urban Residential"
"0","7","3","4","Afghanistan","2020-06-16","Mortar shell in Ghazni kills 4 children and 3 injured as it lands where they are playing","No Information"
"0","2","1","1","Afghanistan","2020-06-15","1 child killed and 1 wounded inmortar attack on home in Asfinda area","Urban Residential"
"3","0","0","0","Afghanistan","2020-06-15","Roadside bomb kills 2 pro-government militia and 1 injured in Argo district","No Information"
"0","4","1","3","Afghanistan","2020-06-17","3 killed and 1 child injured in Suraki area of Zurmt district","Road"
"14","0","0","0","Afghanistan","2020-06-18","Artillery shelling kills 13 Taliban and injures 1 when they attack base in Mianshin","Armed Base"
"4","0","0","0","Afghanistan","2020-06-18","4 Taliban killed in airstrike on Sar Hawza district","No Information"
"6","1","1","0","Afghanistan","2020-06-21","3 police killed and 3 injured in bomb explosion in Herat","Village"
"4","0","0","0","Afghanistan","2020-06-23","4 soldiers injured in bomb blast in Kandahar in Aino Mena road","Road"
"0","6","0","6","Afghanistan","2020-06-23","6 killed in roadside bomb explosion in Mardian district","Road"
"0","9","5","4","Afghanistan","2020-06-24","4 civilians killed in strike on farmer's home in Wazirabad by Afghan forces - claim Taliban killed","Village"
"0","7","3","4","Afghanistan","2020-06-26","4 killed in mortar shelling on home in Khost province","Urban Residential"
