Province,District,,
Farah,Bakwa,,
Farah,Balabulok,,
Farah,Farah,,
Farah,Gulistan,,
Farah,Khak-e-Safed,,
Farah,Lash-e-Juwayn,,
Farah,Purchaman,,
Farah,Pushtrod,,
Farah,Qala-ye-Kah,,
Farah,Shebkoh,,
Faryab,Almar,,
Faryab,Andkhoy,,
Faryab,Bilcheragh,,
Faryab,Dawlatabad,,
Faryab,Garzewan,,
Faryab,Khan-e-Char Bagh,,
Faryab,Khwaja Sabzposh,,
Faryab,Kohistan,,
Faryab,Maymana,,
Faryab,Pashton Kot,,
Faryab,Qaysar,,
Faryab,Qaramqol,,
Faryab,Qurghan,,
Faryab,Shiren Tagab,,
Ghazni,Ab Band,,
Ghazni,Ajristan,,
Ghazni,Andar,,
Ghazni,Dehyak,,
Ghazni,Gelan,,
Ghazni,Ghazni,,
Ghazni,Gero,,
Ghazni,Jaghato,,
Ghazni,Jaghori,,
Ghazni,Khwaja Umari,,
Ghazni,Malistan,,
Ghazni,Muqur,,
Ghazni,Nawa,,
Ghazni,Nawur,,
Ghazni,Qarabagh,,
Ghazni,Rashedan,,
Ghazni,Waghaz,,
Ghazni,Walemuhammad-e-Shahed,,
Ghazni,Zanakhan,,
Ghor,Charsada,,
Ghor,Ferozkoh,,
Ghor,Dawlatyar,,
Ghor,DoLayna,,
Ghor,Lal Wa Sarjangal,,
Ghor,Pasaband,,
Ghor,Saghar,,
Ghor,Shahrak,,
Ghor,Taywarah,,
Ghor,Tolak,,
Helmand,Baghran,,
Helmand,Desho,,
Helmand,Garmser,,
Helmand,Kajaki,,
Helmand,Lashkargah,,
Helmand,Marja,,
Helmand,Mosa Qala,,
Helmand,Nad-e-Ali,,
Helmand,Nahr-e-Saraj,,
Helmand,Nawa-e-Barakzaiy,,
Helmand,Nawa-i-Mesh,,
Helmand,Nawzad,,
Helmand,Reg,,
Helmand,Sangen,,
Helmand,Washer,,
Herat,Adraskan,,
Herat,Chisht-e-Sharef,,
Herat,Injel,,
Herat,Farsi,,
Herat,Ghoryan,,
Herat,Gulran,,
Herat,Guzara,,
Herat,Hirat,,
Herat,Karukh,,
Herat,Koh-i-Zor,,
Herat,Kohsan,,
Herat,Kushk,,
Herat,Kushk-e-Kuhna,,
Herat,Obi,,
Herat,Pashton Zarghon,,
Herat,Pusht-i-Koh,,
Herat,Shindand,,
Herat,Zawol,,
Herat,Zindajan,,
Herat,Zer-i-Koh,,
Jowzjan,Aqcha,,
Jowzjan,Darzab,,
Jowzjan,Fayzabad,,
Jowzjan,Khamyab,,
Jowzjan,Khanaqa,,
Jowzjan,Khwaja Dukoh,,
Jowzjan,Mardyan,,
Jowzjan,Mingajek,,
Jowzjan,Qarqen,,
Jowzjan,Qoshtepa,,
Jowzjan,Shiberghan,,
Kabul,Bagrami,,
Kabul,Chah Arasyab,,
Kabul,Deh Sabz,,
Kabul,Istalif,,
Kabul,Farza,,
Kabul,Guldara,,
Kabul,Kabul,,
Kabul,Kalakan,,
Kabul,Khak-e-Jabar,,
Kabul,Mir Bacha kot,,
Kabul,Mosahi,,
Kabul,Paghman,,
Kabul,Qarabagh,,
Kabul,Shakardara,,
Kabul,Surobi,,
Kandahar,Arghandab,,
Kandahar,Arghistan,,
Kandahar,Daman,,
Kandahar,Dand,,
Kandahar,Ghorak,,
Kandahar,Kandahar,,
Kandahar,Khakrez,,
Kandahar,Maywand,,
Kandahar,Marof,,
Kandahar,Miyanshen,,
Kandahar,Nesh,,
Kandahar,Panjwayi,,
Kandahar,Reg,,
Kandahar,Shah Wale Kot,,
Kandahar,Shorabak,,
Kandahar,Spen Boldak,,
Kandahar,Takhtapul,,
Kandahar,Zhiray,,
Kapisa,Alasay,,
Kapisa,Hisa-e-Awal-e-Kohistan,,
Kapisa,Hisa-e-Duwum-e-Kohistan,,
Kapisa,Kohband,,
Kapisa,Mahmod-e-Raqi,,
Kapisa,Nijrab,,
Kapisa,Tagab,,
Khost,Bak,,
Khost,Gurbuz,,
Khost,Jaji Maydan,,
Khost,Maton,,
Khost,Mandozayi,,
Khost,Mosa Khel,,
Khost,Nadir Shah Kot,,
Khost,Qalandar,,
Khost,Sabari,,
Khost,Shamal,,
Khost,Spera,,
Khost,Tani,,
Khost,Tirezayi,,
Kunar,Asadabad,,
Kunar,Barkunar,,
Kunar,Chapadara,,
Kunar,Dangam,,
Kunar,Dara-e-Pech,,
Kunar,Ghaziabad,,
Kunar,Khas Kunar,,
Kunar,Marawara,,
Kunar,Narang,,
Kunar,Nari,,
Kunar,Norgal,,
Kunar,Sarkani,,
Kunar,Chawkay,,
Kunar,Sheltan,,
Kunar,Shegal,,
Kunar,Watapor,,
Kunduz,Aliabad,,
Kunduz,Aqtash,,
Kunduz,Kalbad,,
Kunduz,Chardarah,,
Kunduz,Dasht-e-Archi,,
Kunduz,Gultipa,,
Kunduz,Imam Sahib,,
Kunduz,Khanabad,,
Kunduz,Kunduz,,
Kunduz,Qala-e-Zal,,
Laghman,Alingar,,
Laghman,Alishang,,
Laghman,Badpakh,,
Laghman,Dawlatshah,,
Laghman,Mihtarlam,,
Laghman,Qarghayi,,
Logar,Azra,,
Logar,Baraki Barak,,
Logar,Charkh,,
Logar,Kharwar,,
Logar,Khoshi,,
Logar,Muhammad Agha,,
Logar,Pul-e-Alam,,
Nangarhar,Achen,,
Nangarhar,Batikot,,
Nangarhar,Bihsod,,
Nangarhar,Chaparhar,,
Nangarhar,Dara-e-Nor,,
Nangarhar,Dehbala,,
Nangarhar,Durbaba,,
Nangarhar,Goshta,,
Nangarhar,Hisarak,,
Nangarhar,Jalalabad,,
Nangarhar,Kama,,
Nangarhar,Khogyani,,
Nangarhar,Kot,,
Nangarhar,Kozkunar,,
Nangarhar,Lalpor,,
Nangarhar,Muhmand Dara,,
Nangarhar,Nazyan,,
Nangarhar,Pacher Agam,,
Nangarhar,Rodat,,
Nangarhar,Sherzad,,
Nangarhar,Shenwar,,
Nangarhar,Spinghar,,
Nangarhar,Surkhrod,,
Nimroz,Chakhansor,,
Nimroz,Char Burjak,,
Nimroz,Dilaram,,
Nimroz,Kang,,
Nimroz,Khashrod,,
Nimroz,Zaranj,,
Nuristan,Barg-e-Matal,,
Nuristan,Doab,,
Nuristan,Kamdesh,,
Nuristan,Mandol,,
Nuristan,Nor Giram,,
Nuristan,Paron,,
Nuristan,Wama,,
Nuristan,Waygal,,
Paktia,Shawak,,
Paktia,Ahmadabad,,
Paktia,Dand wa Patan,,
Paktia,Garda Siray,,
Paktia,Gardez,,
Paktia,Jaji,,
Paktia,Jani Khel,,
Paktia,Lija Ahmadkhel,,
Paktia,Lija Mangal,,
Paktia,Merzaka,,
Paktia,Rohani Baba,,
Paktia,Chamkani,,
Paktia,Sayed Karam,,
Paktia,Zadran,,
Paktia,Zurmat,,
Paktika,Birmil,,
Paktika,Dela,,
Paktika,Gyan,,
Paktika,Gomal,,
Paktika,Janikhel,,
Paktika,Matakhan,,
Paktika,Neka‌‎‌‎‌‎‌‎,,
Paktika,Omna,,
Paktika,Sar Rawzah,,
Paktika,Sharan,,
Paktika,Sarobi,,
Paktika,Turwo,,
Paktika,Urgun,,
Paktika,Wazakhah,,
Paktika,Wormamay,,
Paktika,Yahya khel,,
Paktika,Yosuf Khel,,
Paktika,Zarghon Shahr,,
Paktika,‌‌Zerok‌‎‌‎‌‎,,
Panjsher,Abshar,,
Panjsher,Bazarak,,
Panjsher,Dara,,
Panjsher,Khinj,,
Panjsher,Paryan,,
Panjsher,Rukha,,
Panjsher,Shutul,,
Panjsher,Onaba,,
Parwan,Bagram,,
Parwan,Charekar,,
Parwan,Jabalussaraj,,
Parwan,Koh-e-Safi,,
Parwan,Salang,,
Parwan,Sayd Khel,,
Parwan,Shekh Ali,,
Parwan,Shenwari,,
Parwan,Ghorband,,
Parwan,Surkh-e-Parsa,,
Samangan,Aybak,,
Samangan,Dara-e Sof-e-Bala,,
Samangan,Dara-e-Sof-e-Payin,,
Samangan,Feroz Nakhcher,,
Samangan,Hazrat-e-Sultan,,
Samangan,Khuram Wa Sarbagh,,
Samangan,Roy-e-Doab,,
Saripul,Balkhab,,
Saripul,Gosfandi,,
Saripul,Kohistanat,,
Saripul,Sancharak,,
Saripul,Sar-e-Pul,,
Saripul,Sayad,,
Saripul,Sozma Qala,,
Takhar,Baharak,,
Takhar,Bangi,,
Takhar,Chahab,,
Takhar,Chal,,
Takhar,Darqad,,
Takhar,Dasht-e-Qala,,
Takhar,Ishkmish,,
Takhar,Farkhar,,
Takhar,Hazarsumoch,,
Takhar,Kalafgan,,
Takhar,Khwaja Bahawuddin,,
Takhar,Khwaja Ghar,,
Takhar,Namak Ab,,
Takhar,Rustaq,,
Takhar,Taluqan,,
Takhar,Warsaj,,
Takhar,Yangi Qala,,
Urozgan,Chinarto,,
Urozgan,Chora,,
Urozgan,Dehrawud,,
Urozgan,Khas Uruzgan,,
Urozgan,Shahed-e-Hassas,,
Urozgan,Tirenkot,,
Wardak,Chak,,
Wardak,Daymerdad,,
Wardak,Hisa-e-Awal-e-Bihsod,,
Wardak,Jaghato,,
Wardak,Jalrez,,
Wardak,Maydanshahr,,
Wardak,Markaz-e-Bihsod,,
Wardak,Nirkh,,
Wardak,Saydabad,,
Zabul,Arghandab,,
Zabul,Atghar,,
Zabul,Daychopan,,
Zabul,Kakar,,
Zabul,Mezan,,
Zabul,Naw Bahar,,
Zabul,Qalat,,
Zabul,Shahjoy,,
Zabul,Shumulzay,,
Zabul,Shenkay,,
Zabul,Tarnak Wa Jaldak,,
Badakhshan,Arghanj Khwa,,
Badakhshan,Argo,,
Badakhshan,Baharak,,
Badakhshan,Darayem,,
Badakhshan,Darwaz-e-Bala,,
Badakhshan,Darwaz-e-Payin,,
Badakhshan,Eshkashem,,
Badakhshan,Fayzabad,,
Badakhshan,Jorm,,
Badakhshan,Khash,,
Badakhshan,Khwahan,,
Badakhshan,Koran wa Monjan,,
Badakhshan,Keshem,,
Badakhshan,Kohestan,,
Badakhshan,Kofab,,
Badakhshan,Raghestan,,
Badakhshan,Shahr-e-Buzorg,,
Badakhshan,Shighnan,,
Badakhshan,Shaki,,
Badakhshan,Shuhada,,
Badakhshan,Tagab,,
Badakhshan,Teshkan,,
Badakhshan,Wakhan,,
Badakhshan,Warduj,,
Badakhshan,Yaftal-e-Sufla,,
Badakhshan,Yamgan,,
Badakhshan,Yawan,,
Badakhshan,Zebak,,
Badghis,Ab Kamari,,
Badghis,Ghormach,,
Badghis,Jawand,,
Badghis,Muqur,,
Badghis,Murghab,,
Badghis,Qades,,
Badghis,Qala-e-Naw,,
Baghlan,Andarab,,
Baghlan,Baghlan-e-Jadid,,
Baghlan,Borka,,
Baghlan,Dahana-e-Ghori,,
Baghlan,Deh Salah,,
Baghlan,Doshi,,
Baghlan,Firing Gharo,,
Baghlan,Guzargah-e-Nor,,
Baghlan,Khinjan,,
Baghlan,Khost Wa Firing,,
Baghlan,Khwaja Hijran,,
Baghlan,Nahren,,
Baghlan,Pul-e-Hisar,,
Baghlan,Pul-e-Khumri,,
Baghlan,Tala Wa Barfak,,
Balkh,Balkh,,
Balkh,Char Bolak,,
Balkh,Char Kint,,
Balkh,Chimtal,,
Balkh,Dawlatabad,,
Balkh,Dehdadi,,
Balkh,Kaldar,,
Balkh,Khulm,,
Balkh,Kishindeh,,
Balkh,Marmul,,
Balkh,Mazar-e-Sharif,,
Balkh,Nahr-e-Shahi,,
Balkh,Sharak-e-Hayratan,,
Balkh,Sholgareh,,
Balkh,Shortepa,,
Balkh,Zari,,
Bamiyan,Bamyan,,
Bamiyan,Kahmard,,
Bamiyan,Panjab,,
Bamiyan,Sayghan,,
Bamiyan,Shebar,,
Bamiyan,Waras,,
Bamiyan,Yakawlang,,
Daikundi,Keti,,
"Daikundi 
OR
Urozgan",Gezab,,
Daikundi,Ashtarlay,,
Daikundi,Kajran,,
Daikundi,Khader,,
Daikundi,Meramor,,
Daikundi,Neli,,
Daikundi,Sang-e-Takht,,
Daikundi,Shahristan,,
Farah,Anardara,,
Farah,Bakwa,,
Farah,Balabulok,,
Farah,Farah,,
Farah,Gulistan,,
Farah,Khak-e-Safed,,
Farah,Lash-e-Juwayn,,
Farah,Purchaman,,
Farah,Pushtrod,,
Farah,Qala-ye-Kah,,
Farah,Shebkoh,,
Faryab,Almar,,
Faryab,Andkhoy,,
Faryab,Bilcheragh,,
Faryab,Dawlatabad,,
Faryab,Garzewan,,
Faryab,Khan-e-Char Bagh,,
Faryab,Khwaja Sabzposh,,
Faryab,Kohistan,,
Faryab,Maymana,,
Faryab,Pashton Kot,,
Faryab,Qaysar,,
Faryab,Qaramqol,,
Faryab,Qurghan,,
Faryab,Shiren Tagab,,
Ghazni,Ab Band,,
Ghazni,Ajristan,,
Ghazni,Andar,,
Ghazni,Dehyak,,
Ghazni,Gelan,,
Ghazni,Ghazni,,
Ghazni,Gero,,
Ghazni,Jaghato,,
Ghazni,Jaghori,,
Ghazni,Khwaja Umari,,
Ghazni,Malistan,,
Ghazni,Muqur,,
Ghazni,Nawa,,
Ghazni,Nawur,,
Ghazni,Qarabagh,,
Ghazni,Rashedan,,
Ghazni,Waghaz,,
Ghazni,Walemuhammad-e- Shahed,,
Ghazni,Zanakhan,,
Ghor,Charsada,,
Ghor,Ferozkoh,,
Ghor,Dawlatyar,,
Ghor,DoLayna,,
Ghor,Lal Wa Sarjangal,,
Ghor,Pasaband,,
Ghor,Saghar,,
Ghor,Shahrak,,
Ghor,Taywarah,,
Ghor,Tolak,,
Helmand,Baghran,,
Helmand,Desho,,
Helmand,Garmser,,
Helmand,Kajaki,,
Helmand,Lashkargah,,
Helmand,Mosa Qala,,
Helmand,Nad-e-Ali,,
Helmand,Nahr-e-Saraj,,
Helmand,Nawa-e-Barakzaiy,,
Helmand,Nawzad,,
Helmand,Reg,,
Helmand,Sangen,,
Helmand,Washer,,
Herat,Adraskan,,
Herat,Chisht-e-Sharef,,
Herat,Injel,,
Herat,Farsi,,
Herat,Ghoryan,,
Herat,Gulran,,
Herat,Guzara,,
Herat,Hirat,,
Herat,Karukh,,
Herat,Kohsan,,
Herat,Kushk,,
Herat,Kushk-e-Kuhna,,
Herat,Obi,,
Herat,Pashton Zarghon,,
Herat,Shindand,,
Herat,Zindajan,,
Jowzjan,Aqcha,,
Jowzjan,Darzab,,
Jowzjan,Fayzabad,,
Jowzjan,Khamyab,,
Jowzjan,Khanaqa,,
Jowzjan,Khwaja Dukoh,,
Jowzjan,Mardyan,,
Jowzjan,Mingajek,,
Jowzjan,Qarqen,,
Jowzjan,Qoshtepa,,
Jowzjan,Shiberghan,,
Kabul,Bagrami,,
Kabul,Chah Arasyab,,
Kabul,Deh Sabz,,
Kabul,Istalif,,
Kabul,Farza,,
Kabul,Guldara,,
Kabul,Kabul,,
Kabul,Kalakan,,
Kabul,Khak-e-Jabar,,
Kabul,Mir Bacha kot,,
Kabul,Mosahi,,
Kabul,Paghman,,
Kabul,Qarabagh,,
Kabul,Shakardara,,
Kabul,Surobi,,
Kandahar,Arghandab,,
Kandahar,Arghistan,,
Kandahar,Daman,,
Kandahar,Ghorak,,
Kandahar,Kandahar,,
Kandahar,Khakrez,,
Kandahar,Maywand,,
Kandahar,Marof,,
Kandahar,Miyanshen,,
Kandahar,Nesh,,
Kandahar,Panjwayi,,
Kandahar,Reg,,
Kandahar,Shah Wale Kot,,
Kandahar,Shorabak,,
Kandahar,Spen Boldak,,
Kandahar,Zhiray,,
Kapisa,Alasay,,
Kapisa,Hisa-e-Awal-e-Kohistan,,
Kapisa,Hisa-e-Duwum-e-Kohistan,,
Kapisa,Kohband,,
Kapisa,Mahmod-e-Raqi,,
Kapisa,Nijrab,,
Kapisa,Tagab,,
Khost,Bak,,
Khost,Gurbuz,,
Khost,Jaji Maydan,,
Khost,Maton,,
Khost,Mandozayi,,
Khost,Mosa Khel,,
Khost,Nadir Shah Kot,,
Khost,Qalandar,,
Khost,Sabari,,
Khost,Shamal,,
Khost,Spera,,
Khost,Tani,,
Khost,Tirezayi,,
Kunar,Asadabad,,
Kunar,Barkunar,,
Kunar,Chapadara,,
Kunar,Dangam,,
Kunar,Dara-e-Pech,,
Kunar,Ghaziabad,,
Kunar,Khas Kunar,,
Kunar,Marawara,,
Kunar,Narang,,
Kunar,Nari,,
Kunar,Norgal,,
Kunar,Sarkani,,
Kunar,Chawkay,,
Kunar,Shegal Wa Shiltan,,
Kunar,Watapor,,
Kunduz,Aliabad,,
Kunduz,Chardarah,,
Kunduz,Dasht-e-Archi,,
Kunduz,Imam Sahib,,
Kunduz,Khanabad,,
Kunduz,Kunduz,,
Kunduz,Qala-e-Zal,,
Laghman,Alingar,,
Laghman,Alishang,,
Laghman,Dawlatshah,,
Laghman,Mihtarlam,,
Laghman,Qarghayi,,
Logar,Azra,,
Logar,Baraki Barak,,
Logar,Charkh,,
Logar,Kharwar,,
Logar,Khoshi,,
Logar,Muhammad Agha,,
Logar,Pul-e-Alam,,
Nangarhar,Achen,,
Nangarhar,Batikot,,
Nangarhar,Bihsod,,
Nangarhar,Chaparhar,,
Nangarhar,Dara-e-Nor,,
Nangarhar,Dehbala,,
Nangarhar,Durbaba,,
Nangarhar,Goshta,,
Nangarhar,Hisarak,,
Nangarhar,Jalalabad,,
Nangarhar,Kama,,
Nangarhar,Khogyani,,
Nangarhar,Kot,,
Nangarhar,Kozkunar,,
Nangarhar,Lalpor,,
Nangarhar,Muhmand Dara,,
Nangarhar,Nazyan,,
Nangarhar,Pacher Agam,,
Nangarhar,Rodat,,
Nangarhar,Sherzad,,
Nangarhar,Shenwar,,
Nangarhar,Surkhrod,,
Nimroz,Chakhansor,,
Nimroz,Char Burjak,,
Nimroz,Kang,,
Nimroz,Khashrod,,
Nimroz,Zaranj,,
Nuristan,Barg-e-Matal,,
Nuristan,Doab,,
Nuristan,Kamdesh,,
Nuristan,Mandol,,
Nuristan,Nor Giram,,
Nuristan,Paron,,
Nuristan,Wama,,
Nuristan,Waygal,,
Paktia,Shawak,,
Paktia,Ahmadabad,,
Paktia,Dand wa Patan,,
Paktia,Gardez,,
Paktia,Jaji,,
Paktia,Jani Khel,,
Paktia,Lija Ahmadkhel,,
Paktia,Chamkani,,
Paktia,Sayed Karam,,
Paktia,Zadran,,
Paktia,Zurmat,,
Paktika,Birmil,,
Paktika,Dela,,
Paktika,Gyan,,
Paktika,Gomal,,
Paktika,Janikhel,,
Paktika,Matakhan,,
Paktika,Neka‌‎‌‎‌‎‌‎,,
Paktika,Omna,,
Paktika,Sar Rawzah,,
Paktika,Sharan,,
Paktika,Sarobi,,
Paktika,Turwo,,
Paktika,Urgun,,
Paktika,Wazakhah,,
Paktika,Wormamay,,
Paktika,Yahya khel,,
Paktika,Yosuf Khel,,
Paktika,Zarghon Shahr,,
Paktika,‌‌Zerok‌‎‌‎‌‎,,
Panjsher,Bazarak,,
Panjsher,Dara,,
Panjsher,Khinj,,
Panjsher,Paryan,,
Panjsher,Rukha,,
Panjsher,Shutul,,
Panjsher,Onaba,,
Parwan,Bagram,,
Parwan,Charekar,,
Parwan,Jabalussaraj,,
Parwan,Koh-e-Safi,,
Parwan,Salang,,
Parwan,Sayd Khel,,
Parwan,Shekh Ali,,
Parwan,Shenwari,,
Parwan,Ghorband,,
Parwan,Surkh-e-Parsa,,
Samangan,Aybak,,
Samangan,Dara-e Sof-e-Bala,,
Samangan,Dara-e-Sof-e-Payin,,
Samangan,Feroz Nakhcher,,
Samangan,Hazrat-e-Sultan,,
Samangan,Khuram Wa Sarbagh,,
Samangan,Roy-e-Doab,,
Saripul,Balkhab,,
Saripul,Gosfandi,,
Saripul,Kohistanat,,
Saripul,Sancharak,,
Saripul,Sar-e-Pul,,
Saripul,Sayad,,
Saripul,Sozma Qala,,
Takhar,Baharak,,
Takhar,Bangi,,
Takhar,Chahab,,
Takhar,Chal,,
Takhar,Darqad,,
Takhar,Dasht-e-Qala,,
Takhar,Ishkmish,,
Takhar,Farkhar,,
Takhar,Hazarsumoch,,
Takhar,Kalafgan,,
Takhar,Khwaja Bahawuddin,,
Takhar,Khwaja Ghar,,
Takhar,Namak Ab,,
Takhar,Rustaq,,
Takhar,Taluqan,,
Takhar,Warsaj,,
Takhar,Yangi Qala,,
Urozgan,Chora,,
Urozgan,Dehrawud,,
Urozgan,Khas Uruzgan,,
Urozgan,Shahed-e-Hassas,,
Urozgan,Tirenkot,,
Wardak,Chak,,
Wardak,Daymerdad,,
Wardak,Hisa-e-Awal-e-Bihsod,,
Wardak,Jaghato,,
Wardak,Jalrez,,
Wardak,Maydanshahr,,
Wardak,Markaz-e-Bihsod,,
Wardak,Nirkh,,
Wardak,Saydabad,,
Zabul,Arghandab,,
Zabul,Atghar,,
Zabul,Daychopan,,
Zabul,Kakar,,
Zabul,Mezan,,
Zabul,Naw Bahar,,
Zabul,Qalat,,
Zabul,Shahjoy,,
Zabul,Shumulzay,,
Zabul,Shenkay,,
Zabul,Tarnak Wa Jaldak,,
Badakhshan,Arghanj Khwah,,
Badakhshan,Argo,,
Badakhshan,Baharak,,
Badakhshan,Darayim,,
Badakhshan,Darwaz-e-Bala,,
Badakhshan,Darwas-e Pa'in,,
Badakhshan,Ishkashim,,
Badakhshan,Faizabad,,
Badakhshan,Jurm,,
Badakhshan,Khash,,
Badakhshan,Khwahan,,
Badakhshan,Kiran Wa Munjan,,
Badakhshan,Kishim,,
Badakhshan,Kohistan,,
Badakhshan,Kuf Ab,,
Badakhshan,Raghistan,,
Badakhshan,Shahr-e Buzurg,,
Badakhshan,Shighnan,,
Badakhshan,Shiki,,
Badakhshan,Shuhada,,
Badakhshan,Tagab,,
Badakhshan,Tashkan,,
Badakhshan,Wakhan,,
Badakhshan,Warduj,,
Badakhshan,Yaftal-e-Sufla,,
Badakhshan,Yamgan,,
Badakhshan,Yawan,,
Badakhshan,Zebak,,
Badghis,Ab-e Kamari,,
Badghis,Ghormach,,
Badghis,Jawand,,
Badghis,Muqur,,
Badghis,Murghab,,
Badghis,Qadis,,
Badghis,Qal'ah-ye Now,,
Baghlan,Andarab,,
Baghlan,Baghlan-e Jadid,,
Baghlan,Burkah,,
Baghlan,Dahanah-ye Ghori,,
Baghlan,Deh-e Salah,,
Baghlan,Doshi,,
Baghlan,Firing wa Gharu,,
Baghlan,Gozargah-e Nur,,
Baghlan,Khinjan,,
Baghlan,Khost wa Firing,,
Baghlan,Khwajah Hijran,,
Baghlan,Nahrin,,
Baghlan,Pul-e Hisar,,
Baghlan,Pul-e Khumri,,
Baghlan,Talah Wa Barfak,,
Balkh,Balkh,,
Balkh,Chahar Bolak,,
Balkh,Chahar Kent,,
Balkh,Chimtal,,
Balkh,Dowlatabad,,
Balkh,Dehdadi,,
Balkh,Kaldar,,
Balkh,Khulm,,
Balkh,Kishindeh,,
Balkh,Marmul,,
Balkh,Mazar-e Sharif,,
Balkh,Nahr-e Shahi,,
Balkh,Sharak-e Hairatan,,
Balkh,Sholgarah,,
Balkh,Shortepah,,
Balkh,Zari,,
Bamiyan,Bamyan,,
Bamiyan,Kahmard,,
Bamiyan,Panjab,,
Bamiyan,Sayghan,,
Bamiyan,Shaybar,,
Bamiyan,Waras,,
Bamiyan,Yakawlang,,
Daikundi,Gayti,,
"Daikundi 
OR
Urozgan",Gizab,,
Daikundi,Ishterlay,,
Daikundi,Kejran,,
Daikundi,Khedir,,
Daikundi,Mir Amor,,
Daikundi,Nili,,
Daikundi,Sang-e Takht,,
Daikundi,Shahristan,,
Farah,Anar Dara,,
Farah,Bakwah,,
Farah,Bala Boluk,,
Farah,Farah,,
Farah,Gulistan,,
Farah,Khak-e Safed,,
Farah,Lash-i Juwayn,,
Farah,Pur Chaman,,
Farah,Pusht-e Rod,,
Farah,Qal'ah-ye Kah,,
Farah,Shayb Koh,,
Faryab,Almar,,
Faryab,Andkhoy,,
Faryab,Bal Chiragh,,
Faryab,Dowlatabad,,
Faryab,Gurziwan,,
Faryab,Khan-e Chahr Bagh,,
Faryab,Khwaja Sabz Posh,,
Faryab,Kohistan,,
Faryab,Maimanah,,
Faryab,Pashtun Kot,,
Faryab,Qaisar,,
Faryab,Qaram Qul,,
Faryab,Qurghan,,
Faryab,Shirin Tagab,,
Ghazni,Ab Band,,
Ghazni,Ajristan,,
Ghazni,Andar,,
Ghazni,Deh Yak,,
Ghazni,Gelan,,
Ghazni,Ghazni,,
Ghazni,Giro,,
Ghazni,Bahram-e Shahid,,
Ghazni,Jaghuri,,
Ghazni,Khwajah Omari,,
Ghazni,Malistan,,
Ghazni,Muqur,,
Ghazni,Nawah,,
Ghazni,Nawur,,
Ghazni,Qarah Bagh,,
Ghazni,Rashidan,,
Ghazni,Waghaz,,
Ghazni,Wali Muhammad Shahid Khugyani,,
Ghazni,Zanakhan,,
Ghor,Chahar Sadah,,
Ghor,Chaghcharan,,
Ghor,Dowlatyar,,
Ghor,Do Lainah,,
Ghor,La'l wa SarJangal,,
Ghor,Pasaband,,
Ghor,Saghar,,
Ghor,Shahrak,,
Ghor,Taywarah,,
Ghor,Tulak,,
Helmand,Baghran,,
Helmand,Dishu,,
Helmand,Garm Ser,,
Helmand,Kajaki,,
Helmand,Lashkar Gah,,
Helmand,Marja,,
Helmand,Musa Qal'ah,,
Helmand,Nad 'Ali,,
